k,inertia,silhouette,davies_bouldin,calinski_harabasz,n_iter
2,109880.27987123077,0.14974269428105538,2.2563644207734,1850.4921697532386,24
3,96877.43135744092,0.1676398243903932,1.8955188300904855,1755.8649156802892,27
4,87680.77812611936,0.1428850753685076,1.8306704428328477,1661.2858147200054,43
5,82043.36212358248,0.1307747184366134,1.837096858912534,1512.268583098252,28
6,77790.86102678042,0.12496342882158162,1.79578584455314,1390.901216101779,22
7,74790.22042114951,0.11696111126001182,1.804271295968896,1275.8466971377181,55
8,72295.33772583495,0.11036917221919182,1.8475643154324854,1183.0925426011534,30
