user_hash,segment,total_pre_kwh
0145a8c107889554878179f7a0ce452dcaffb5cf5428d7c8ea279082bbefd976,0,1658.1175
0157ccc02bc7d96d5972685c6c1050a65495d813dede780282525e1cd66f1e63,0,1489.807
015efff33e90b5ea09c3d83ee38f10fa3422c7f6fc872399f8227895631a2aa4,2,378.2975
01624eb4da09be5bc8e171658bb2a269e4f800d956cf4a67fda174e7e664c595,0,6663.635
017300e2fd83090ac90bcd222edaaa7aa2822b2610166f2132c2ad97b9b92ab1,2,5050.9905
01746e006a98e4645cc5befc286757dbcb33cb64e438f49b1b4a7919c970e3b0,0,12315.428
018691ce738b789921141c0a480a61dd2d44c1e4585e83a4c092a80a934ebe16,2,6100.6575
018e50c6e1078b5cc2d18a94e4f540165d9fdd0195a04f8a199f978c4dc0d160,2,4510.532
018fa8df0d78c310e1b156ebd22d869e72044207230ba2fb02613d5b816a8c24,2,9125.098999999998
01962f8bcdff51f9b3aaa1fdd48685a3260aca67705740eca093614977455a1d,0,7725.7715
019b6608391aeaa6fb5acfca070bb09b2b1a6b8dcf8f76a31bc03ab41f47dcd2,0,9268.08
01a5c1e04b4a52f7e3bd6d8fa8d93ab30e792c522c6ef671199796e508417fc5,0,4681.245
01b4e499376cdfff491f7b98fff207e636353c5bec30a2f524d8c50ad87b7ffa,2,997.3385000000001
01bd02079f838180643f6dbd1c5fd7e6f02c675fdd7814b2d4d855b3d36cc973,2,2011.9679999999998
01bf4569d5dbcc13a7995f9d3340576c4db03e101a6550510ecaa0fcb930a55a,0,2289.92
01c14e8c465eb4d4ef92f0b89a6528a223b01fe89f0d970e6385b6e882a12374,0,2489.326
01c64f001df1fc5f919077552ff20755a7876e16f985bf1bab856baf4fced45d,0,4937.858499999999
01c7287cb243a5b74e8b8e9d3df25ff1946540b31395ee02f7aba6aacee8f188,2,841.69
01d3e92b5c9e608888d9c0da7fec1947a22b6ad6f5c71d923be32eb7318d9b6c,2,1075.8214999999998
01d477071547fad3845a14c8a32392b637e8222de026653b467804e93a97546e,2,8652.057499999999
01dc9b9706d71df193e526f77815671a520c8a8569abff96dfacc154b351527e,0,3534.4595
01de53105bcf600603126eb8fc4bef87498300c18777ca61af3f092c7ad3a2db,2,3459.516
01debddb8273a1ceebdd07f0767e1de69d4f7bec9446205854f6e48c30474f18,0,4231.634
01e0c4ab5bbef2ae6348ff26dfd7315fd754d12b383befa9c0f540e010bc4b2f,2,6967.831
01e90c956801cbba4b611af5280f23f1c5a8c5a439beb4ad1627978e778dc14b,0,30.26300000000001
01ea5d52368c69ecb1495effd89e06db5985032b12c956f87d16e6e978f67e95,0,3656.4005
01ebe130edc1db204478f6b88f689668da4b87c43bab6e83b6cd64356e30113c,2,4319.045
01ec26c166f77c09ab9d7b23d655fe74c06ae27a63a3cf4bb6edb6e7a8e791e6,0,3938.502
01f1ee05a1e74380c66b1405ef8ec1b09a86ab063789def2a4fe9e9e36efbd54,2,2447.4759999999997
0200755ec3a557027506d6e486fa3ce2899893f8b108f1b63327cc8d798120a3,0,1618.5095
02034cfaa8ef7329a2033d5aacab65944746a6050b6b2d8497494c61fef8411d,0,2398.8885
02047fc3e7aca6c50150c59f0101fbd99976af3d3b73a657ffa59ffd5d1fcf2c,2,2400.9625
021930f2a9e8d06e6081ac5ecab01a54015d40e2cb9573e479d10017b31a7ea3,0,1495.948
021c600b238cb596dd9c747c48512a0696ea65451f393b89ae7c0a04f50973db,2,4897.7
021c84916bf54d009f9b6dca50b98088216fbb1de7124621b3efb146e4e27ba7,0,7887.755
0241f2bc91b42a0b284def6d69bf82d4eb4f11819449ee0004b36864c439b489,2,5242.57
02420cc15aebd7c4b8a6a7882037deab6bd43cd988c9b2d2ba0402aa3fb490f2,0,2878.6590000000006
026b55510343c1b219ba099a942ad757781d5ccbfa3ef54e1ed2a010c406bd11,0,6865.1455000000005
026db520e5a80534a2deed9d3802cdbf0a828980057a4bfd1e92fb807a129e7c,2,1673.096
028076c80ce044bfaae3740ba13ae109b252248b9ca68fa56c6035e849250a1e,2,5178.937
0281f64fe592d72dc88f21a3456c10582fc29ecbc918c642af40e0c11e2710b3,0,3730.103
028ad992d81c9dcaa12351eded42ad2889123d2a0841ae7f7e7392bbd2f0b6c2,0,5187.876
02916c7d818e0d62f7896fb347768dbee39671791e01b5e090b657fc6df89f6f,2,304.09950000000003
02929d38217ff71988bfa864ea222c67fddd1ba1b36a042ee10d2868f72160f8,2,307.84000000000003
029e4945d657a92ef1a68386dbf2bccf0eca732b1504ea78a5387e82ec81c4cc,2,1243.596
02a1c8b0d4687f595e98d8cb60b38ee87433fa1e507087ed52ff95c6b5059e16,0,5076.653
02a6eafc515c2fcf659292804061ce6ffb404580e1255dab53bfc48e892d8b7a,0,1961.15
02a8fe1b03fb765a4aee19b7298147cb09c8a46e7757ae0e5ca034074a8f6245,2,7194.0205000000005
02aa677df51cd4e2833356482afb74d83cc2114001fd542fcacbbd93d3e9ff14,0,1662.266
02b324c7c198f72870dfa23f74cca9786add289c2e9ecc023cbdac2c31f02dcc,2,1738.4615
02b618f4a7e09b39deeed802604d82bf520aeed8ba783891555f62cc6dc6466f,0,272.74950000000007
02bbd93b92843b39b3466aaf859dd22f610287b1803f210e839de81de6307a5a,2,3350.8845000000006
02d3f06b65043e927a691c1779c25cb20f309e6da5ba8083da4be456566cec83,2,1737.248
02d48908b5ef3816abc04f7216b8b45fdee583692f418ad06539bbaeb011b8b7,0,1790.3595
02dab08945a16da46c7b91c3c1ae45d61b007da82f77ee4f35a84233b282bbe2,2,20272.4155
02dd614c6ef5455beb44a89075ac877521c001cd33e4a8a352a0f2dbe3dab4d5,2,88.61683333333335
02eab070c27cd0d8d3ea843f7d5994576c746c621b5cd3ea421d2dba210aacc9,0,7525.3965
02ec02feb77ab6104160bf5e8ecd7e2fa61741bae619f657855a52db0a0458fd,2,12467.6355
02f67a0f8efce33c9c50254460a79497b06f1752fb4e86e2631729ba35791eb5,2,2391.904
02f9da34454f91075410920356d84462bc1b702e2a366a340c2a964f555e6cea,0,3003.019
03105e59e6c287df74f852376041f9ee276e07979bbd87d30ec560b8d786913f,0,3112.5705
0313c5220b4f33ebdfba0db0dcf83c67b3aa477f62c12f457059b585cdc1d03c,2,3574.7800000000007
0314826301bd29a3cd293194fac2a792c9fc4791df3384b9e8801218a2db43de,2,2873.9294999999997
0315d41bea1fb64a95f070626fd5fe2f5cdd0d72902e6be234fdea4f1a90d72f,0,4022.675
0318f0a0ceec413f663d982a2940028e3d91153a31589d197ecfd65ca4a6a50c,0,5047.8835
0324dc92ffe0fbe9ae7d33428af3e0c5508cea44dc0f81e3ac27c1e429acee6e,2,758.2370000000001
032f2ddef24d25c9cf9827d9f8f58e0652deacc817fce596573453e037a2ea23,0,6698.456
0331193f7f81a71aec73052897fefee4223ec738d77e159c19edd8a4fe778115,1,4557.603499999999
0332009b51f58f6ef083dfc008e0479bcc2f73586435611a9d89ba774779f069,2,2998.837
03357e0f54fa8026d927dedf997cbc8fd6e8216f52f0e56ca231e4ffa3ce76b7,2,1102.6200000000001
0335a380133a40b02827b26b8594964c382689f122b6893a380b97cd42a2c4ce,2,1200.4470000000001
033a23c8f9c871c1a7e8ffc512a91207051b38dc5b91ab9d284ffdbf9b5687d8,0,2142.8395
033e5ed147efaccd764c3029f112c71e825478a85de1af4b760db493b9d739a9,0,4276.233
0340b6a974d5aad87e9391468072efcbd55eafeba17bfc9868269eeeed64523d,2,7302.2585
03478db77a6a745dbc68e6816cadb44d9de447e29ba4e6f99b6e5a0f39c94364,0,822.8050000000001
036509ea9089cf6f621fd09c23b5892cbc287bbf72c76ee15f76efb581270709,0,5568.4259999999995
037319b9c1cd20bdeb59a8ee83e745b9a9a32a36de0ead95e09431f638b957ac,2,3756.263
037b6b858c3636a583b40b3d6337bab835450f7a0001d82d3f815131046f7f8d,0,2104.869
037baf4a7d5e533f83bc0fc56db8c508fb0db3d7a21ec1d8e001fd356c57c5a4,2,6599.3385
03803c17e516803d3061d14c0c17b62c824fbf07520caf934ffc8a3611cd3dea,0,6515.192499999999
038060e0c2b7feb5645fc8f6777fc86054deeb0fdff8ab388cc5467b7066ea40,0,2892.6584999999995
038a8376661f35fae2e4c61deffa3bed91bfba9826b506de3ba35cec8b9e8d91,0,7409.949500000001
03991f9149e87f810711596eec292b5660bd286f26418213c9bb7065c600d66f,2,12470.030499999999
03a104a6bc9b3437c966390e500e8347acc364bb137febe1e5a7a31ee889ec53,0,3731.7709999999997
03a7c5302a3b2c8fb37f3a79bc0f7c0d2f698f768fe40ce1960dd6854ac2ab9a,0,8793.946
03a98abc5217cea5a9abc78e8434585a351ba1b609c50850ef37be73c3382b48,2,5021.4245
03aa37d87e358dca777729ab600d4bb68eed364a1741aa50aefe67e849af8088,2,2181.2055
03bded0a8e885f9f450c4a72572b3449cd7c117de7442cd6f18a7392678bcd20,2,5995.7515
03bea1f8ea1c72780defbf7a710e0be39098e05ec2c5fc783210a5c9101bf14a,2,4052.2704999999996
03cbbd04d25d40d884df61559cd8bd619bb980d3cbc026caf37686d836cc22de,2,3322.0135000000005
03cc974d93bbe71a65ce982a801b8d279b814cb1242d6577c73379396b8dc9c8,2,4060.4155
03d3598fc283ac608df19d8d9192e73a6230931223d3ee2d18576c2e170ee334,2,6459.4545
03d5086e4f65986217c56b73af907bc5953e578767b14d1c2938fbb0420edb08,2,3886.496
