level,bucket,n,raw_cov50,cal_cov50,raw_cov90,cal_cov90
portfolio,h=1,51,0.45098039215686275,0.7843137254901961,0.6862745098039216,0.9215686274509803
portfolio,h<=24,1224,0.21895424836601307,0.47467320261437906,0.545751633986928,0.8986928104575164
portfolio,h=24,51,0.11764705882352941,0.47058823529411764,0.37254901960784315,0.8823529411764706
portfolio,h=25-72,2448,0.18382352941176472,0.49019607843137253,0.47549019607843135,0.8782679738562091
portfolio,h=72,51,0.0196078431372549,0.47058823529411764,0.3137254901960784,0.8235294117647058
portfolio,h=73-168,4872,0.17692939244663383,0.4815270935960591,0.4628489326765189,0.8830049261083743
portfolio,h=168,50,0.12,0.38,0.38,0.82
